chart_week,rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,track_id,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
2026-01-08,27,Jimin,Who,BIGHIT MUSIC,1,32,77,15246169,7tI8dRuH2Yc6RuoTjxo4dU,1oSPZhvZMIrWW5I41kPkkY,2024-07-19,False,87.0,k-pop,11095061.0,80.0
2026-01-08,28,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,28,47,6,15187566,3oTuTpF1F3A7rEC6RKsMRz,6Ip8FS7vWT1uKkJSweANQK,2025-10-23,True,91.0,grime|uk grime|uk drill|drill,6938163.0,82.0
2026-01-08,29,Idgitaf,Sedia Aku Sebelum Hujan,idgitaf musik,24,24,6,15091205,64qfw9JZl3RYCrq4Mn0WvT,7pFWMC2E7h8eL3SZyHRsRq,2025-10-08,False,90.0,indonesian pop|indonesian indie,2656659.0,76.0
2026-01-08,30,sombr,12 to 12,Warner Records,14,40,24,14842918,05od2qm2MTSKCHxy1GBp5W,4G9NDjRyZFDlJKMRL8hx3S,2025-08-22,False,90.0,unknown,3487254.0,86.0
2026-01-08,31,KATSEYE,Internet Girl,Hybe/Geffen,31,-1,1,14661216,3THVfoVD5kdCxPviVaCPi7,3c0gDdb9lhnHGFtP4prQpn,2026-01-02,False,86.0,k-pop,7327438.0,86.0
2026-01-08,32,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,3,34,118,14653787,7CyPwkp0oE8Ro9Dd5CUDjW,1Xyo4u8uXC1ZmMpatF05PJ,2023-06-23,False,93.0,unknown,117116492.0,96.0
2026-01-08,33,SIENNA SPIRO,Die On This Hill,Capitol Records,33,60,4,14625286,2gYTC8DsplN3RNdpdBcCOQ,02gSuSAWEdWa5UOvqzjX6v,2025-10-10,False,91.0,unknown,465938.0,78.0
2026-01-08,34,Lord Huron,The Night We Met,Play It Again Sam,15,44,168,14395897,3hRV0jL3vUpRrcy398teAU,6ltzsmQQbmdoHHbLZ4ZN25,2015-04-06,False,90.0,unknown,2265250.0,79.0
2026-01-08,35,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,El Bogueto,33,33,4,14286791,2pbSCYzxrG0wa6qcj8IyiE,3S9Hg7sRKhmtWunFZ2yAYP,2025-12-10,True,90.0,reggaeton mexa|reggaeton,1587314.0,81.0
2026-01-08,36,Prince,Purple Rain,Warner Records,36,-1,1,14275905,1uvyZBs4IZYRebHIB1747m,5a2EaR3hamoenG9rDuVn8j,1984-06-25,False,87.0,funk|funk rock,7980824.0,77.0
