chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-08,50,spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,12,50,260,13295638
2026-01-08,51,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),51,63,141,13103210
2026-01-08,52,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Coldplay,Sparks,Parlophone UK,30,56,72,12985967
2026-01-08,53,spotify:track:554qQSs9lpRVq6TlaaiIKT,EsDeeKid,4 Raws,Lizzy Records,53,65,6,12983589
2026-01-08,54,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,20,64,136,12943133
2026-01-08,55,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,54,275,12845040
2026-01-08,56,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,5,55,113,12701754
2026-01-08,57,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber",Let Me Love You,DJ Snake Def Jam,4,74,87,12669401
2026-01-08,58,spotify:track:57Z6TJCTMACXxdrcwZ3Zvf,"EsDeeKid, Rico Ace",Phantom,Lizzy Records,45,45,8,12610476
2026-01-08,59,spotify:track:6iOndD4OFo7GkaDypWQIou,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,WEA Latina,5,39,45,12590783
2026-01-08,60,spotify:track:0FIDCNYYjNvPVimz5icugS,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,3,57,67,12404939
2026-01-08,61,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,62,130,12119255
2026-01-08,62,spotify:track:0bxPRWprUVpQK0UFcddkrA,Kehlani,Folded,TSNMI / Atlantic,62,81,23,12082594
2026-01-08,63,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,49,319,12010979
2026-01-08,64,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,61,61,202,11993495
2026-01-08,65,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,The Marías,No One Noticed,Nice Life/Atlantic,37,76,60,11862918
2026-01-08,66,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,Atlantic Records,6,66,167,11691551
2026-01-08,67,spotify:track:0TFTAtCYhp2tQ9KcJIZb55,sombr,undressed,Warner Records,6,105,41,11481926
2026-01-08,68,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,43,71,209,11458364
2026-01-08,69,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther (TDE/DMG) PS,2,79,134,11425387
2026-01-08,70,spotify:track:4qfkZtOGVw2BXa05wqXKkV,"Peso Pluma, Tito Double P",bckpckbyz,Double P Records,53,53,2,11413902
2026-01-08,71,spotify:track:33MeEaRCeIQMSRyFTr5ZJU,Neton Vega,Pvta Luna,Josa Records (Neton Vega),71,80,8,11241600
2026-01-08,72,spotify:track:5BZsQlgw21vDOAjoqkNgKb,Justin Bieber,DAISIES,"JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",2,89,26,11218961
2026-01-08,73,spotify:track:0d28khcov6AiegSCpG5TuT,"Gorillaz, De La Soul",Feel Good Inc.,Parlophone UK,46,85,55,11187369
2026-01-08,74,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,a-ha,Take on Me,Rhino,56,75,82,11046179
2026-01-08,75,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,6,107,91,10980749
2026-01-08,76,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,5,58,53,10929790
2026-01-08,77,spotify:track:1oAwsWBovWRIp7qLMGPIet,Cigarettes After Sex,Apocalypse,Partisan Records,53,91,182,10860390
2026-01-08,78,spotify:track:6DH13QYXK7lKkYHSU88N48,Daniel Caesar,Who Knows,Republic Records,78,112,7,10793107
2026-01-08,79,spotify:track:1HEwEN64NjgTaHmo7LfkX8,Beéle,no tiene sentido,5020 Records,18,133,30,10788057
2026-01-08,80,spotify:track:7gKxCvTDWwV9wBhdeBbr3l,Olivia Dean,Nice To Each Other,PLG - Capitol,53,127,19,10759511
2026-01-08,81,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,31,84,176,10737296
2026-01-08,82,spotify:track:7cjoZVmWe2xsGR4wcXiV2v,Lil Uzi Vert,What You Saying,Roc Nation Distribution,82,-1,1,10634529
2026-01-08,83,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,1,106,96,10618474
2026-01-08,84,spotify:track:7xLfNI4gRNTu6FyXJlzBW5,"Peso Pluma, Tito Double P",ni pedo,Double P Records,70,70,2,10554417
2026-01-08,85,spotify:track:2uXlHCUbq9OMUwx3hrk06o,Vance Joy,Riptide,Atlantic Records,30,99,256,10537154
2026-01-08,86,spotify:track:5MCbGWnNLLjoHpbDO3BOgi,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan","Gehra Hua (From ""Dhurandhar"")",Saregama India Ltd,86,88,3,10513219
2026-01-08,87,spotify:track:6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,Universal Music Australia Pty. Ltd.,87,125,66,10484030
2026-01-08,88,spotify:track:312z6PZ8wwREck8613PkJk,Olivia Dean,A Couple Minutes,PLG - Capitol,88,135,7,10474270
2026-01-08,89,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,90,190,10460431
2026-01-08,90,spotify:track:39shmbIHICJ2Wxnk1fPSdz,The Clash,Should I Stay or Should I Go - Remastered,Sony Music UK,90,139,2,10444267
2026-01-08,91,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,In the End,Warner Records,22,110,125,10413997
2026-01-08,92,spotify:track:4NyUIohBa3CEMGcXURYSOh,Herencia De Grandes,Ya Borracho,Rancho Humilde,92,93,7,10407659
2026-01-08,93,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,23,97,179,10376188
2026-01-08,94,spotify:track:65DbTqJKhbwqYbZ1Okr0rc,Ella Langley,Choosin' Texas,SAWGOD/Columbia,94,-1,1,10245102
2026-01-08,95,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,95,108,95,10243724
2026-01-08,96,spotify:track:02sy7FAs8dkDNYsHp4Ul3f,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,K-Pop Demon Hunters,4,72,29,10214826
2026-01-08,97,spotify:track:5UJbgR4XF4y1DvbkxEqe8S,Tate McRae,Sports car,RCA Records Label,16,132,49,10188928
2026-01-08,98,spotify:track:2fuYa3Lx06QQJAm0MjztKr,Radiohead,Let Down,XL Recordings,55,114,32,10175918
2026-01-08,99,spotify:track:3zEN0ii6s4DHHBpnTp3RP7,Empire Of The Sun,We Are The People,EMI Recorded Music Australia Pty Ltd,94,137,23,10116390
2026-01-08,100,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,9,87,53,10112366
2026-01-08,101,spotify:track:4lzo6zPM2paqyP8oBp3DOs,"Peso Pluma, Tito Double P",7-3,Double P Records,101,118,2,10063723
2026-01-08,102,spotify:track:0ll8uFnc0nANY35E0Lfxvg,Keane,Somewhere Only We Know,Universal-Island Records Ltd.,71,113,163,10038440
2026-01-08,103,spotify:track:13CwOTXUgBugeBByE9oIWb,Nadhif Basalamah,kota ini tak sama tanpamu,After School,103,-1,1,10037996
2026-01-08,104,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,94,396,9951267
2026-01-08,105,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,17,59,133,9951257
2026-01-08,106,spotify:track:6393yGahSJ9slVdOwSxOVR,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,24,78,70,9913223
2026-01-08,107,spotify:track:0eLtIxPRNJfsmehITZ1qaJ,Aditya Rikhari,Sahiba,T-Series,37,96,27,9901534
2026-01-08,108,spotify:track:3hpm0fTeSqlhJbnqAgaLZs,Fuerza Regida,Marlboro Rojo,Rancho Humilde/Street Mob Records/Sony Music Latin,20,82,35,9898264
2026-01-08,109,spotify:track:6uiQ0DqbXTBc8tl0AUKZkR,Rels B,TU VAS SIN (fav),DALE PLAY Records / Flakk Team,28,86,26,9835498
2026-01-08,110,spotify:track:2N9miXnewVmUrgl6JSK1FI,"LE SSERAFIM, j-hope",SPAGHETTI,SOURCE MUSIC,25,144,11,9833258
2026-01-08,111,spotify:track:09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,Sorry,RBMG/Def Jam,65,153,37,9825841
2026-01-08,112,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,Don Toliver,No Pole,Cactus Jack / Atlantic,72,117,56,9805263
2026-01-08,113,spotify:track:1k0JAiH11gHL9dc5dfQjQr,ILLIT,NOT CUTE ANYMORE,BELIFT LAB,113,120,6,9789915
2026-01-08,114,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",2,104,59,9783109
2026-01-08,115,spotify:track:3jhyw60F61gc7nC4dblqtC,"PEDRO SAMPAIO, MC Meno K, Melody",JETSKI,Sony Music Entertainment,115,122,2,9717533
2026-01-08,116,spotify:track:7J1uxwnxfQLu4APicE5Rnj,Michael Jackson,Billie Jean,Epic,48,83,33,9713578
2026-01-08,117,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,7,111,56,9611921
2026-01-08,118,spotify:track:0fK7ie6XwGxQTIkpFoWkd1,JENNIE,like JENNIE,OA Entertainment/Columbia,6,69,44,9576743
2026-01-08,119,spotify:track:2nMeu6UenVvwUktBCpLMK9,Lana Del Rey,Young And Beautiful,Polydor Records,119,159,45,9517756
2026-01-08,120,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Don Omar, Lucenzo",Danza Kuduro,UMLE - Machete,80,95,106,9514699
2026-01-08,121,spotify:track:1zv3WFUbZ5vPxFq9I2jAU1,"Rihanna, Calvin Harris",We Found Love,Def Jam Recordings,59,101,100,9483016
2026-01-08,122,spotify:track:0COqiPhxzoWICwFCS4eZcp,Evanescence,Bring Me To Life,The Bicycle Music Company,111,141,40,9455979
2026-01-08,123,spotify:track:3vJIaiTIHxHhYafTSPNiH4,"Disney, Shakira",Zoo,Walt Disney Records,123,138,2,9447240
2026-01-08,124,spotify:track:43iIQbw5hx986dUEZbr3eN,Laufey,From The Start,Laufey,97,143,27,9441876
2026-01-08,125,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,2,-1,226,9380800
2026-01-08,126,spotify:track:2GP6UzoA55p6yYiPCGyEhg,"Omar Camacho, Victor Mendivil",2+2,Rico o Muerto Music LLC,81,130,22,9336585
2026-01-08,127,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,86,146,245,9296129
2026-01-08,128,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,103,140,138,9251472
2026-01-08,129,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,21,102,55,9227495
2026-01-08,130,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),34,149,154,9122930
2026-01-08,131,spotify:track:5e9TFTbltYBg2xThimr0rU,Fleetwood Mac,The Chain - 2004 Remaster,Rhino/Warner Records,119,188,20,9121059
2026-01-08,132,spotify:track:2yWlGEgEfPot0lv3OAjuG3,"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),Atlantic Records,10,-1,29,9120802
2026-01-08,133,spotify:track:7B3BwNecBhKvNwSMOOl7Gk,Addison Rae,Fame is a Gun,Columbia,56,189,7,9089785
2026-01-08,134,spotify:track:42VUCXerQ5qTr4Qp6PhKo4,Sabrina Carpenter,Tears,Island Records,2,124,18,9057629
2026-01-08,135,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,Landslide,Warner Records,135,-1,1,9040538
2026-01-08,136,spotify:track:75JFxkI2RXiU7L9VXzMkle,Coldplay,The Scientist,Parlophone Records Limited,71,166,89,9017250
2026-01-08,137,spotify:track:2mdEsXPu8ZmkHRRtAdC09e,Lana Del Rey,Cinnamon Girl,Polydor Records,125,-1,12,8986702
2026-01-08,138,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,151,203,8986598
2026-01-08,139,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,131,429,8985931
2026-01-08,140,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Pitbull, AFROJACK, Ne-Yo, Nayer",Give Me Everything (feat. Nayer),Mr.305/Polo Grounds Music/J Records,72,142,61,8972778
2026-01-08,141,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,86,177,182,8971375
2026-01-08,142,spotify:track:73scB4Q4fcOmnsBVZPmk32,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,5,109,74,8963169
2026-01-08,143,spotify:track:3nqqDo8CcCLke3ZoTgiOKf,The Script,The Man Who Can't Be Moved,Epic/Phonogenic,135,-1,8,8954467
2026-01-08,144,spotify:track:0InIeZW4P6VO7dUGRM4AKH,The Marías,Sienna,Nice Life/Atlantic,89,184,17,8933107
2026-01-08,145,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,24,185,96,8902748
2026-01-08,146,spotify:track:3A02hWQ2ebOFDWSbAMNnpw,Madison Beer,bittersweet,Epic/Sing It Loud,146,167,6,8833879
2026-01-08,147,spotify:track:6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph,Atlantic Records UK,41,-1,210,8789622
2026-01-08,148,spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,70,165,85,8759458
2026-01-08,149,spotify:track:5EcG8eMMlwkHRVa4aTR1qd,Rihanna,Breakin' Dishes,Def Jam Recordings,39,160,40,8748590
2026-01-08,150,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,8,129,45,8725109
2026-01-08,151,spotify:track:0YVh3SyU4dS7jOWIFQ1tTf,Chris Grey,LET THE WORLD BURN,Chris Grey,151,198,5,8697936
2026-01-08,152,spotify:track:4WxU1gDVmoH6gstgR0MT78,"Major Lazer, MØ, DJ Snake",Lean On (feat. MØ & DJ Snake),Third Pardee Records,113,-1,30,8669539
2026-01-08,153,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,136,248,8610715
2026-01-08,154,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,190,142,8609087
2026-01-08,155,spotify:track:38Ps9Kui6qJjpVqdBOfN5M,"Grupo Menos É Mais, Simone Mendes",P do Pecado - Ao Vivo,Som Livre,52,52,29,8607801
2026-01-08,156,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,8,179,152,8603018
2026-01-08,157,spotify:track:3pbtBomO4Zt5gGiqsYeiBH,Diana Ross,Upside Down,UNI/MOTOWN,157,-1,1,8590573
2026-01-08,158,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Eminem Catalog PS,31,163,214,8587189
2026-01-08,159,spotify:track:5H1sKFMzDeMtXwND3V6hRY,BLACKPINK,JUMP,YG Entertainment,1,152,25,8582703
2026-01-08,160,spotify:track:2ENexcMEMsYk0rVJigVD3i,Rihanna,Only Girl (In The World),Def Jam Recordings,99,155,12,8562156
2026-01-08,161,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,Artist Partner,5,171,83,8556120
2026-01-08,162,spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn,Rihanna,Don't Stop The Music,Def Jam Recordings,156,156,11,8534880
2026-01-08,163,spotify:track:48QmG1dfvMuYLxMPt7KSRA,"Sean Paul, Dua Lipa",No Lie,Universal-Island Records Ltd.,80,-1,41,8512615
2026-01-08,164,spotify:track:4zhk2RS2EZODmBW6il55Qj,"Beéle, Ovy On The Drums",mi refe,5020 Records,55,-1,44,8506665
2026-01-08,165,spotify:track:0ql6fgz8qk0pAEKrGeSppJ,Nadhif Basalamah,bergema sampai selamanya,After School,151,182,12,8487547
2026-01-08,166,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,2,-1,287,8475173
2026-01-08,167,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,154,112,8468395
2026-01-08,168,spotify:track:4V2rUOmaevK0C1bKAkeFf5,"Panda, MJ Records",Eu Te Seguro - Ao Vivo,Sony Music Entertainment,164,164,2,8444349
2026-01-08,169,spotify:track:3d0WouFnFmr0K3kjeza3fF,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),Epic,82,134,38,8422655
2026-01-08,170,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,Lady Gaga,Poker Face,Streamline/Interscope,37,123,48,8417495
2026-01-08,171,spotify:track:7snQQk1zcKl8gZ92AnueZW,Guns N' Roses,Sweet Child O' Mine,Guns N Roses P&D,101,194,56,8400461
2026-01-08,172,spotify:track:6czM6UMQD9qE5GAUp68oud,"Justin Bieber, Chance the Rapper",Confident,RBMG/Def Jam,154,173,17,8397269
2026-01-08,173,spotify:track:3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,Cry,Partisan Records,69,193,48,8374608
2026-01-08,174,spotify:track:1j15Ar0qGDzIR0v3CQv3JL,KATSEYE,Gnarly,HYBE/Geffen,46,191,33,8357299
2026-01-08,175,spotify:track:1NXbNEAcPvY5G1xvfN57aA,Tame Impala,Dracula,Columbia,35,126,14,8353691
2026-01-08,176,spotify:track:2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Have You Ever Seen The Rain,Craft Recordings,75,196,62,8347280
2026-01-08,177,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,108,-1,208,8341742
2026-01-08,178,spotify:track:1WwQ714xuznu44tEnkem2g,"HAVEN., Kaitlin Aragon",I Run,Isekai / Broke / AAO,101,197,6,8278748
2026-01-08,179,spotify:track:0je57Uq5eTk1wrPzn9sWbl,Sabrina Carpenter,When Did You Get Hot?,Island Records,12,187,17,8264668
2026-01-08,180,spotify:track:36vmaZyO0iAE6FZ7287fg2,Olivia Dean,Dive,PLG - Capitol,178,-1,2,8254137
2026-01-08,181,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,"Tommy Boy Music, LLC",40,128,104,8247253
