chart_week,rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,track_id,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
2026-01-15,1,Djo,End of Beginning,Djo,1,1,100,57615296,3qhlB30KknSejmIvZZLjOD,5p9HO3XC5P3BLxJs5Mtrhm,2022-09-16,False,100.0,unknown,3926953.0,86.0
2026-01-15,2,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,2,15,44990874,53iuhJlwXhSER5J2IYYv1W,06HL4z0CvFAxyc27GXpf02,2025-10-03,False,99.0,unknown,150343698.0,100.0
2026-01-15,3,Olivia Dean,Man I Need,PLG - Capitol,3,4,21,31719946,1qbmS6ep2hbBRaEZFpn7BX,00x1fYSGhdqScXBRpSj3DW,2025-08-15,False,97.0,pop soul,2724357.0,93.0
2026-01-15,4,sombr,back to friends,Warner Records,1,5,43,31620313,7qjZnBKE73H4Oxkopwulqe,4G9NDjRyZFDlJKMRL8hx3S,2025-08-22,False,93.0,unknown,3537054.0,87.0
2026-01-15,5,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,1,3,30,31009336,1CPZ5BxNNd0n0nF4Orb9JS,2yNNYQBChuox9A5Ka93BIn,2025-06-20,False,98.0,unknown,4982223.0,86.0
2026-01-15,6,Bruno Mars,I Just Might,Atlantic Records,6,-1,1,30951335,12bYYQaLqHliSXvRIYlq8G,0du5cEVh5yTK9QJze8zA0C,2026-01-09,False,92.0,unknown,78309743.0,95.0
2026-01-15,7,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,6,6,17,27947010,55lijDD6OAjLFFUHU9tcDm,5KKpBU5eC2tJDzf0wmlRp2,2025-09-19,False,96.0,unknown,3346105.0,85.0
2026-01-15,8,Olivia Dean,So Easy (To Fall In Love),PLG - Capitol,6,7,16,26306045,6sGIMrtIzQjdzNndVxe397,00x1fYSGhdqScXBRpSj3DW,2025-09-26,False,96.0,pop soul,2724357.0,93.0
2026-01-15,9,Zara Larsson,Lush Life,Epic/Record Company TEN,9,10,21,26245808,1rIKgCH4H52lrvDcz50hS8,1Xylc3o4UrD53lo9CvFvVg,2017-03-17,False,93.0,unknown,11452372.0,85.0
2026-01-15,10,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,1,13,74,24159403,7so0lgd0zP2Sbgs2d7a1SZ,,,,,unknown,,
2026-01-15,11,The Police,Every Breath You Take,Polydor Records,8,8,214,23980867,1JSTJqkT5qHq8MDJnJbRE1,5NGO30tJxFlKixkPSgXcFE,1983-06-17,False,95.0,unknown,7888511.0,81.0
2026-01-15,12,Alex Warren,Ordinary,Atlantic Records,1,9,49,23653815,2RkZ5LkEzeHGRsmDqKwmaJ,0fTSzq9jAh4c36UVb4V7CB,2024-09-26,False,92.0,unknown,3472705.0,86.0
2026-01-15,13,SIENNA SPIRO,Die On This Hill,Capitol Records,13,33,5,22389725,2gYTC8DsplN3RNdpdBcCOQ,02gSuSAWEdWa5UOvqzjX6v,2025-10-10,False,92.0,unknown,506221.0,79.0
2026-01-15,14,She & Him,I Thought I Saw Your Face Today,Merge Records,14,14,6,21090409,0myRViRgmQ3J8izICXEAVO,3CIRif6ZAedT7kZSPvj2A4,2008-03-18,False,93.0,christmas,563769.0,76.0
2026-01-15,15,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,11,87,20599145,6dOtVTDdiauQNBQEDOtlAB,6qqNVTkY8uBg9cP3Jd7DAH,2024-05-17,False,95.0,unknown,122190602.0,93.0
2026-01-15,16,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,16,28,7,20285068,3oTuTpF1F3A7rEC6RKsMRz,6Ip8FS7vWT1uKkJSweANQK,2025-10-23,True,92.0,grime|uk grime|uk drill|drill,6974844.0,82.0
2026-01-15,17,The Goo Goo Dolls,Iris,Warner Records,12,15,124,19462340,6Qyc6fS4DsZjB2mRW9DsQs,2sil8z5kiy4r76CRTXxBCA,,False,93.0,unknown,3727157.0,78.0
2026-01-15,18,Tyla,CHANEL,Epic,9,12,9,19421773,4VxTzYm00mg82MuoT35Ja7,3SozjO3Lat463tQICI9LcE,2025-10-24,True,93.0,afrobeats,4241395.0,83.0
2026-01-15,19,"Peso Pluma, Tito Double P",dopamina,Double P Records,13,19,3,19114232,3e32UUqXzrI4g2y5kNZrwC,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,89.0,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda|electro corridos,25407668.0,93.0
2026-01-15,20,Bruno Mars,Locked out of Heaven,Atlantic Records,20,93,180,18538734,5g7sDjBhZ4I3gcFIpkrLuI,,,,,unknown,,
2026-01-15,21,Gigi Perez,Sailor Song,"Outtahere, LLC / Island Records",7,16,74,18269907,21IYMdzTrzSe191Cy5eMap,1iCnM8foFssWlPRLfAbIwo,2025-04-25,False,89.0,unknown,1908570.0,79.0
2026-01-15,22,Bruno Mars,That's What I Like,Atlantic Records,6,66,168,18132730,0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C,2016-11-17,False,92.0,unknown,78309743.0,95.0
2026-01-15,23,KATSEYE,Gabriela,HYBE/Geffen,10,17,30,17908421,1xOqGUkyxGQRdCvGpvWKmL,3c0gDdb9lhnHGFtP4prQpn,2025-06-20,False,93.0,k-pop,7473030.0,86.0
2026-01-15,24,"El Bogueto, Yung Beef",Cuando No Era Cantante,Candela Music,18,18,13,17537104,44xDy4h27s4ENaC8fKnCoC,3S9Hg7sRKhmtWunFZ2yAYP,2024-09-26,True,92.0,reggaeton mexa|reggaeton,1610099.0,81.0
2026-01-15,25,The Neighbourhood,Sweater Weather,Columbia,16,23,281,17483840,0cQVqPuHQP4KEwc7ZUQmj6,,,,,unknown,,
2026-01-15,26,"Disco Lines, Tinashe",No Broke Boys,Nice Life/Atlantic,13,21,29,17295951,3cZajhyr8LmtPfHZ9296tj,5Kmr0b3ip8g9P2i0dLTC3Z,2025-06-06,True,93.0,stutter house,319997.0,77.0
2026-01-15,27,Ravyn Lenae,Love Me Not,Atlantic Records,8,24,43,16980360,4WFgvKVfEhb3IUAFGrutTR,5RTLRtXjbXI2lSXc6jxlAz,2024-08-09,False,89.0,alternative r&b|indie soul,959717.0,78.0
2026-01-15,28,Taylor Swift,Opalite,Taylor Swift,2,22,15,16915253,3yWuTOYDztXjZxdE2cIRUa,06HL4z0CvFAxyc27GXpf02,2025-10-03,False,93.0,unknown,150343698.0,100.0
