track_name,artist_names,track_id,artist_id
One Dance,"Drake, Wizkid, Kyla",1zi7xx7UVEFkmKfv06H8x0,3TVXtAsR1Inumwj472S9r4
Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU
Sparks,Coldplay,7D0RhFcb3CrfPuTJ0obrod,4gzpq5DPGxSnKTe4SA8HAU
4 Raws,EsDeeKid,554qQSs9lpRVq6TlaaiIKT,0EyhkwP3UnwGFBy6xwKjSy
Dreams - 2004 Remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,08GQAI4eElDnROBrJRGE0X
Starboy,"The Weeknd, Daft Punk",7MXVkk9YMctZqd1Srtv4MB,1Xyo4u8uXC1ZmMpatF05PJ
Lose Control,Teddy Swims,17phhZDn6oGtzMe56NuWvj,33qOK5uJ8AR2xuQQAhHump
Let Me Love You,"DJ Snake, Justin Bieber",0lYBSQXN6rCTvUZvg9S0lU,540vIaP2JwjQb9dm3aArA4
Phantom,"EsDeeKid, Rico Ace",57Z6TJCTMACXxdrcwZ3Zvf,0EyhkwP3UnwGFBy6xwKjSy
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",6iOndD4OFo7GkaDypWQIou,5uwa6tAMMfNbBFIHiI6NV4
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",0FIDCNYYjNvPVimz5icugS,1Xyo4u8uXC1ZmMpatF05PJ
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",2HRgqmZQC0MC7GeNuDIXHN,6HaGTQPmzraVmaVxvz6EUc
Folded,Kehlani,0bxPRWprUVpQK0UFcddkrA,0cGUm45nv7Z6M6qdXYQGTX
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ
Mr. Brightside,The Killers,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu
No One Noticed,The Marías,3siwsiaEoU4Kuuc9WKMUy5,2sSGPbdZJkaSE2AbcGOACx
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C
undressed,sombr,0TFTAtCYhp2tQ9KcJIZb55,4G9NDjRyZFDlJKMRL8hx3S
505,Arctic Monkeys,0BxE4FqsDD1Ot4YuBXwAPp,7Ln80lUS6He07XvHI8qqHH
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",3GCdLUSnKSMJhs4Tj6CV3s,2YZyLoL8N0Wb9xBt1NhZWg
bckpckbyz,"Peso Pluma, Tito Double P",4qfkZtOGVw2BXa05wqXKkV,12GqGscKJx3aE4t07u7eVZ
Pvta Luna,Neton Vega,33MeEaRCeIQMSRyFTr5ZJU,6pV5zH2LzjOUHaAvENdMMa
DAISIES,Justin Bieber,5BZsQlgw21vDOAjoqkNgKb,1uNFoZAHBGtllmzznpCI3s
Feel Good Inc.,"Gorillaz, De La Soul",0d28khcov6AiegSCpG5TuT,3AA28KZvwAUcZuOKwyblJQ
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,2jzc5TC5TVFLXQlBNiIUzE
"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu,7GlBOeep6PqTfFi59PTUUN
NUEVAYoL,Bad Bunny,5TFD2bmFKGhoCRbX61nXY5,4q3ewBCX7sLwd24euuV69X
