track_id,track_name,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
3rUGC1vUpkDG9CZFHMur1t,greedy,45dkTj5sMRSjrmBSBeiHym,2023-09-15,True,88,,10049575,91
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,3Me35AWHCGqW4sZ7bWWJt1,2023-11-30,False,75,corridos tumbados|corrido|corridos bélicos|sad sierreño|música mexicana|banda|sierreño,8657086,78
4xhsWYTOGcal8zt0J161CU,Lovin On Me,2LIk90788K0zvyj2JJVwkJ,2023-11-10,True,80,,4437256,78
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,06HL4z0CvFAxyc27GXpf02,2019-08-23,False,89,,149973500,100
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2uYWxilOVlUdk4oV9DvwqK,2023-09-15,False,87,,11307409,81
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",1Xyo4u8uXC1ZmMpatF05PJ,2023-06-23,False,93,,117116492,96
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),6HaGTQPmzraVmaVxvz6EUc,2023-11-03,True,85,k-pop,19089134,82
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,5cj0lLjcoR7YOSnhnX0Po5,2023-08-04,True,78,,35734279,88
4DE4Vc0MR8bQyEl3etLz7T,La Víctima,3Me35AWHCGqW4sZ7bWWJt1,2024-10-11,True,72,corridos tumbados|corrido|corridos bélicos|sad sierreño|música mexicana|banda|sierreño,8657086,78
05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,12GqGscKJx3aE4t07u7eVZ,2023-12-07,True,72,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda,25292382,92
0mflMxspEfB0VbI1kyLiAv,Stick Season,2RQXRUsr4IW1f3mKyKsy4B,2022-10-14,False,86,,4650553,84
5aIVCx5tnk0ntmdiinnYvw,Water,3SozjO3Lat463tQICI9LcE,2023-07-28,False,86,afrobeats,4199023,83
5mjYQaktjmjcMKcUIcqz4s,Strangers,7uMDnSZyUYNBPLhPMNuaM2,2023-09-01,False,77,,589549,63
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,4q3ewBCX7sLwd24euuV69X,2023-10-13,True,83,reggaeton|trap latino|urbano latino|latin,106663197,99
5RqSsdzTNPX1uzkmlHCFvK,QLONA,790FomKkXshlbRYZFtlgla,2023-08-10,True,80,reggaeton|latin|urbano latino,62131863,89
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,6HaGTQPmzraVmaVxvz6EUc,2023-11-03,False,83,k-pop,19089134,82
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,7Ln80lUS6He07XvHI8qqHH,2013-09-09,False,92,indie|garage rock,33000653,87
7bywjHOc0wSjGGbj04XbVi,LUNA,2LRoIwlKmHjgvigdNGBHNo,2023-12-01,False,86,reggaeton|urbano latino,19464942,88
6uIIdjYTxxpWOyWuVXrKQO,Que Onda,6dLuQ5qXxIuWc5urxfIiZR,2023-08-30,True,77,corrido|corridos tumbados|corridos bélicos|electro corridos|sad sierreño,3141100,79
6CvTEtGagmzQvkUzzyKR9k,HARLEY QUINN,0ys2OFYzWYB5hRDLCsBqxt,2023-10-20,True,78,corrido|corridos tumbados|corridos bélicos|música mexicana|sierreño|banda|sad sierreño|electro corridos,22195462,92
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),1Xyo4u8uXC1ZmMpatF05PJ,2023-06-02,True,84,,117116492,96
2HafqoJbgXdtjwCOvNEF14,Si No Estás,0jbo7KFNMiIkfBR6ih0yhm,2022-09-23,False,80,,604181,65
1kuGVB7EU95pJObxwvfwKS,vampire,1McMsnEElThX1knmY4oliG,2023-09-08,True,85,,50727523,87
5PyDJG7SQRgWXefgexqIge,Agora Hills,5cj0lLjcoR7YOSnhnX0Po5,2023-09-20,True,79,,35734279,88
4Dvkj6JhhA12EX05fT7y2e,As It Was,6KImCVD70vtIoJWnq6nGn3,2022-05-20,False,90,,34528605,84
7MXVkk9YMctZqd1Srtv4MB,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,2016-11-25,True,91,,117116492,96
3OHfY25tqY28d16oZczHc8,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,2022-12-09,False,79,r&b,34390017,90
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,6M2wZ9GZgrQXHCFfjv46we,2023-05-25,False,80,pop,47427917,88
5OGZ2Mx4Cs6RCndDRycGBJ,Daylight,33NVpKoXjItPwUJTMZIOiY,2024-08-30,False,84,,2842843,73
7DSAEUvxU8FajXtRloy8M0,Flowers,5YGY8feqx7naU7z4HrwZM6,2023-08-18,False,86,,26957195,83
4bw8mcDUSRWfQo63ZTYRnU,Según Quién,1r4hJ1h58CWwUQe3MxPuau,2023-08-25,True,80,reggaeton|latin|urbano latino,39487034,86
59NraMJsLaMCVtwXTSia8i,Prada,5wCmhq5J2hPwL2r0eKurxn,2023-08-11,True,82,hypertechno,97171,66
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",6qqNVTkY8uBg9cP3Jd7DAH,2023-07-13,False,85,,121975882,93
4MjDJD8cW7iVeWInc2Bdyj,MONACO,4q3ewBCX7sLwd24euuV69X,2023-10-13,True,83,reggaeton|trap latino|urbano latino|latin,106663197,99
