track_id,track_name,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
1uvyZBs4IZYRebHIB1747m,Purple Rain,5a2EaR3hamoenG9rDuVn8j,1984-06-25,False,88,funk|funk rock,7996962,77
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,0du5cEVh5yTK9QJze8zA0C,2010-05-11,False,83,,78309743,95
1zi7xx7UVEFkmKfv06H8x0,One Dance,3TVXtAsR1Inumwj472S9r4,2016-05-06,False,91,rap,106281454,98
3AJwUDP919kvQ9QcozQPxg,Yellow,4gzpq5DPGxSnKTe4SA8HAU,2000-07-10,False,92,,62236836,91
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,540vIaP2JwjQb9dm3aArA4,2016-08-05,False,91,,9455618,82
64qfw9JZl3RYCrq4Mn0WvT,Sedia Aku Sebelum Hujan,7pFWMC2E7h8eL3SZyHRsRq,2025-10-08,False,90,indonesian pop|indonesian indie,2685895,76
5vNRhkKd0yEAg8suGBpjeY,APT.,3eVa5w3URK5duf6eyVDbu9,2024-10-18,False,89,k-pop,14097373,81
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,22wbnEMDvgVIAGdFeek6ET,2024-04-05,False,89,,7605154,85
4oVO4fGNRRvEn0CRuFO4qv,La Perla,7ltDVBr6mKbRvohxheJ9h1,2025-11-07,True,92,latin,9290552,87
27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,5vV3bFXnN6D6N3Nj4xRvaV,2025-05-16,False,86,k-pop,9987792,79
2HRqTpkrJO5ggZyyK6NPWz,Espresso,74KM79TiuVKeVCqs8QtB0B,2024-08-23,True,88,pop,28998690,92
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,7Ln80lUS6He07XvHI8qqHH,2013-09-09,False,92,indie|garage rock,33060621,87
7MXVkk9YMctZqd1Srtv4MB,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,2016-11-25,True,91,,117396010,96
4lzo6zPM2paqyP8oBp3DOs,7-3,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,88,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda|electro corridos,25407668,93
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,0du5cEVh5yTK9QJze8zA0C,2012-12-07,False,90,,78309743,95
2BwO5K8Q7EPAJSGze3AAh9,Manchild,74KM79TiuVKeVCqs8QtB0B,2025-08-29,True,88,pop,28998690,92
6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,5uwa6tAMMfNbBFIHiI6NV4,2025-02-19,True,90,,922953,76
7D0RhFcb3CrfPuTJ0obrod,Sparks,4gzpq5DPGxSnKTe4SA8HAU,2000-07-10,False,91,,62236836,91
7ne4VBA60CxGM75vw0EYad,That’s So True,4tuJ0bMpJh08umKkEXKUI5,2024-10-18,True,91,,8354785,85
7cjoZVmWe2xsGR4wcXiV2v,What You Saying,4O15NlyKLIASxsJ0PrXPfz,2025-12-22,False,89,melodic rap|rage rap,19728980,87
17phhZDn6oGtzMe56NuWvj,Lose Control,33qOK5uJ8AR2xuQQAhHump,2023-09-15,False,90,,6135704,86
57Z6TJCTMACXxdrcwZ3Zvf,Phantom,0EyhkwP3UnwGFBy6xwKjSy,2025-06-20,True,91,,1290077,86
0bxPRWprUVpQK0UFcddkrA,Folded,0cGUm45nv7Z6M6qdXYQGTX,2025-06-11,False,90,,8992941,81
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),1Xyo4u8uXC1ZmMpatF05PJ,2025-01-31,True,92,,117396010,96
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,0C0XlULifJtAgn6ZNCW2eu,2004,False,91,alternative rock,8198586,80
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),6HaGTQPmzraVmaVxvz6EUc,2023-11-03,True,85,k-pop,19152953,83
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,1977-02-04,False,90,classic rock|yacht rock|soft rock,14511792,86
0M3HkE321xpCbCYqVKzr1q,It Will Rain,0du5cEVh5yTK9QJze8zA0C,2011-09-28,False,87,,78309743,95
33MeEaRCeIQMSRyFTr5ZJU,Pvta Luna,6pV5zH2LzjOUHaAvENdMMa,2025-09-26,False,88,corrido|corridos tumbados|corridos bélicos|electro corridos|dembow belico,5265176,87
6DH13QYXK7lKkYHSU88N48,Who Knows,20wkVLutqVOYrc0kxFs7rA,2025-10-24,False,90,,12472043,88
3THVfoVD5kdCxPviVaCPi7,Internet Girl,3c0gDdb9lhnHGFtP4prQpn,2026-01-02,False,87,k-pop,7473030,86
3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album""",2YZyLoL8N0Wb9xBt1NhZWg,2018-02-09,True,90,hip hop|west coast hip hop,46075516,92
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,2sSGPbdZJkaSE2AbcGOACx,2024-05-31,False,90,bedroom pop,4318566,85
1HEwEN64NjgTaHmo7LfkX8,no tiene sentido,7a0XAaPaK2aDSqa8p3QnC7,2025-05-15,False,89,latin afrobeats|reggaeton|pop urbano,3962240,89
3jhyw60F61gc7nC4dblqtC,JETSKI,5wbf52LA6kcaboHSN6NEF1,2025-12-18,True,87,brazilian funk|funk pop|funk carioca|brazilian pop|brega funk,3227502,79
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,3AA28KZvwAUcZuOKwyblJQ,2005-05-23,False,90,,15150041,84
0TFTAtCYhp2tQ9KcJIZb55,undressed,4G9NDjRyZFDlJKMRL8hx3S,2025-08-22,False,88,,3537054,87
0BxE4FqsDD1Ot4YuBXwAPp,505,7Ln80lUS6He07XvHI8qqHH,2007-04-22,False,87,indie|garage rock,33060621,87
6YkGw5op7PeyP2gmMMMrfJ,LA VILLA,7j6DKwmjbxvpQO8h914uEz,2025-10-22,True,82,reggaeton,4819451,82
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,2020-03-20,False,91,,117396010,96
13CwOTXUgBugeBByE9oIWb,kota ini tak sama tanpamu,6UgERnTHmjk3qXM9x5vzyO,2025-06-20,False,87,malay|indonesian pop|indonesian r&b,2562172,78
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,4q3ewBCX7sLwd24euuV69X,2025-01-05,False,91,reggaeton|trap latino|urbano latino|latin,107003839,99
60a0Rd6pjrkxjPbaKzXjfq,In the End,6XyY86QOPPrYVGvF9ch6wz,2000-10-24,False,90,nu metal|rap metal|rock|alternative metal,32934070,91
65DbTqJKhbwqYbZ1Okr0rc,Choosin' Texas,6BRxQ8cD3eqnrVj6WKDok8,2025-10-17,False,90,country,932282,83
6J5kc12BW5HuP3d7C3vvx8,EoO,4q3ewBCX7sLwd24euuV69X,2025-01-05,True,90,reggaeton|trap latino|urbano latino|latin,107003839,99
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,4bthk9UfsYUYdcFyqxmSUU,1985-02-25,False,90,new wave|synthpop,4274629,77
4NyUIohBa3CEMGcXURYSOh,Ya Borracho,0ocHleb3SllGNQQcDH35Xz,2025-11-07,False,88,corrido|corridos bélicos,854345,79
4Dvkj6JhhA12EX05fT7y2e,As It Was,6KImCVD70vtIoJWnq6nGn3,2022-05-20,False,90,,34595118,86
4lLtanYk6tkMvooU0tWzG8,Grenade,0du5cEVh5yTK9QJze8zA0C,2010-05-11,False,84,,78309743,95
5BZsQlgw21vDOAjoqkNgKb,DAISIES,1uNFoZAHBGtllmzznpCI3s,2025-07-11,False,90,,86567550,94
1SKPmfSYaPsETbRHaiA18G,Somewhere Only We Know,53A0W3U0s8diEn9RhXQhVz,2004-05-10,False,88,,4021938,76
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",7GlBOeep6PqTfFi59PTUUN,2024-04-05,False,90,,7728275,83
1oAwsWBovWRIp7qLMGPIet,Apocalypse,1QAJqy2dA3ihHBFIHRphZj,2017-06-09,False,90,dream pop,18175703,86
2uXlHCUbq9OMUwx3hrk06o,Riptide,10exVja0key0uqUkk6LJRT,2014-08-05,False,86,folk pop,3544602,76
312z6PZ8wwREck8613PkJk,A Couple Minutes,00x1fYSGhdqScXBRpSj3DW,2025-09-26,False,89,pop soul,2724357,93
7gKxCvTDWwV9wBhdeBbr3l,Nice To Each Other,00x1fYSGhdqScXBRpSj3DW,2025-05-30,False,89,pop soul,2724357,93
7qiZfU4dY1lWllzX7mPBI3,Shape of You,6eUKZXaKkcviH0Ku9w2n3V,2017-03-03,False,90,soft pop,124480810,90
1wVuPmvt6AWvTL5W2GJnzZ,Talking to the Moon,0du5cEVh5yTK9QJze8zA0C,2010-05-11,False,80,,78309743,95
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,4gzpq5DPGxSnKTe4SA8HAU,2008-06-19,False,74,,62236836,91
2fuYa3Lx06QQJAm0MjztKr,Let Down,4Z8W4fKeB5YxbusRsdQVPb,1997-05-28,False,90,art rock|alternative rock,14862487,88
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),66CXWjxzNUsdJxJ2JdwvnR,2024-03-08,False,88,pop,109252002,94
7xLfNI4gRNTu6FyXJlzBW5,ni pedo,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,86,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda|electro corridos,25407668,93
6uiQ0DqbXTBc8tl0AUKZkR,TU VAS SIN (fav),2IMZYfNi21MGqxopj9fWx8,2025-06-20,False,90,urbano latino|trap latino,10211557,83
5UJbgR4XF4y1DvbkxEqe8S,Sports car,45dkTj5sMRSjrmBSBeiHym,2025-02-20,False,87,,10098930,91
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,5nGIFgo0shDenQYSE0Sn7c,2003-03-04,False,89,alternative metal,6586626,78
09CtPGIpYB4BrO8qb1RGsF,Sorry,1uNFoZAHBGtllmzznpCI3s,2015-11-13,False,88,,86567550,94
0fK7ie6XwGxQTIkpFoWkd1,like JENNIE,250b0Wlc5Vk0CoUsaCY84M,2025-03-07,True,89,k-pop,13366726,84
2N9miXnewVmUrgl6JSK1FI,SPAGHETTI,4SpbR6yFEvexJuaBpgAU5p,2025-10-24,True,88,k-pop,8801998,82
3zEN0ii6s4DHHBpnTp3RP7,We Are The People,67hb7towEyKvt5Z8Bx306c,2008-10-03,False,89,,2119187,81
3hpm0fTeSqlhJbnqAgaLZs,Marlboro Rojo,0ys2OFYzWYB5hRDLCsBqxt,2025-05-02,True,89,corrido|corridos tumbados|corridos bélicos|música mexicana|sierreño|banda|sad sierreño|electro corridos,22384117,92
2mdEsXPu8ZmkHRRtAdC09e,Cinnamon Girl,00FQb4jTyendYWaN8pK0wa,2019-08-30,False,89,,54195415,91
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,4Gso3d4CscCijv0lmajZWs,2023-02-28,True,89,,7948843,88
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,5INjqkS1o8h1imAzPqGZBb,2015-07-17,True,90,neo-psychedelic|indie,10035035,86
7J1uxwnxfQLu4APicE5Rnj,Billie Jean,3fMbdgg4jU18AjLCKBhRSm,1982-11-30,False,87,,39026150,88
7mfTWGAr3ig1TBw29HgpRE,"Zoo - aus ""Zoomania 2""",3xvaSlT4xsyk6lY1ESOspO,2025-10-10,False,63,,1053551,86
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),2YZyLoL8N0Wb9xBt1NhZWg,2024-11-21,False,86,hip hop|west coast hip hop,46075516,92
02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,0BJ2EjOqcfgFvlZXNKrNbE,2025-06-20,False,90,,2884284,78
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,1vyhD5VmyZ7KMfW5gqLgo5,2019-06-28,False,89,reggaeton|latin,39788695,89
3nqqDo8CcCLke3ZoTgiOKf,The Man Who Can't Be Moved,3AQRLZ9PuTAozP28Skbq8V,2008-07-14,False,87,,8940765,78
2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),45dkTj5sMRSjrmBSBeiHym,2025-05-30,False,89,,10098930,91
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,6olE6TJLqED3rqDCT0FyPh,1991-09-26,False,86,grunge|rock,24221122,84
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,4q3ewBCX7sLwd24euuV69X,2025-01-05,True,89,reggaeton|trap latino|urbano latino|latin,107003839,99
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,2016-07-29,False,89,,21570813,83
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,5Pwc4xIPtQLFEnJriah9YJ,2013-01-01,False,88,soft pop,19040008,84
